Id adduction,#Contrat,Type adduction,Status adduction,ODF Client,Port ODF Client,ODF INWI,Port ODF Inwi,Code liaison,#Id Equipement INWI,#Id Site INWI
ADD-000001,CTR-00001,Radio,Dégradée,ODF-CL-33,P-25,ODF-INWI-52,P-30,LIA-250800,EQI-000007,SI-0004
ADD-000002,CTR-00002,Fibre souterraine,Opérationnelle,ODF-CL-13,P-12,ODF-INWI-13,P-36,LIA-973040,EQI-000070,SI-0034
ADD-000003,CTR-00003,Radio,En déploiement,ODF-CL-40,P-20,ODF-INWI-06,P-14,LIA-499461,EQI-000041,SI-0020
ADD-000004,CTR-00004,Satellite,En déploiement,ODF-CL-32,P-34,ODF-INWI-07,P-63,LIA-892971,EQI-000021,SI-0010
ADD-000005,CTR-00005,Fibre souterraine,Opérationnelle,ODF-CL-04,P-43,ODF-INWI-35,P-92,LIA-853944,EQI-000054,SI-0027
ADD-000006,CTR-00006,Satellite,Suspendue,ODF-CL-08,P-27,ODF-INWI-21,P-23,LIA-653032,EQI-000021,SI-0010
ADD-000007,CTR-00007,Fibre aérienne,En déploiement,ODF-CL-03,P-43,ODF-INWI-37,P-85,LIA-751486,EQI-000005,SI-0003
ADD-000008,CTR-00008,Fibre aérienne,Suspendue,ODF-CL-29,P-47,ODF-INWI-10,P-10,LIA-138680,EQI-000044,SI-0022
ADD-000009,CTR-00009,Fibre aérienne,Dégradée,ODF-CL-10,P-43,ODF-INWI-07,P-54,LIA-796541,EQI-000051,SI-0025
ADD-000010,CTR-00010,Fibre aérienne,Opérationnelle,ODF-CL-07,P-33,ODF-INWI-35,P-55,LIA-994389,EQI-000059,SI-0029
ADD-000011,CTR-00011,Fibre aérienne,En déploiement,ODF-CL-12,P-44,ODF-INWI-09,P-61,LIA-837999,EQI-000023,SI-0011
ADD-000012,CTR-00012,Satellite,Suspendue,ODF-CL-02,P-08,ODF-INWI-02,P-12,LIA-729156,EQI-000010,SI-0006
ADD-000013,CTR-00013,Fibre souterraine,Opérationnelle,ODF-CL-07,P-08,ODF-INWI-18,P-12,LIA-304490,EQI-000026,SI-0013
ADD-000014,CTR-00014,Satellite,Suspendue,ODF-CL-34,P-01,ODF-INWI-10,P-13,LIA-952362,EQI-000005,SI-0003
ADD-000015,CTR-00015,Fibre aérienne,Opérationnelle,ODF-CL-28,P-21,ODF-INWI-53,P-49,LIA-165081,EQI-000041,SI-0020
ADD-000016,CTR-00016,Fibre aérienne,Opérationnelle,ODF-CL-21,P-37,ODF-INWI-55,P-81,LIA-129986,EQI-000035,SI-0017
ADD-000017,CTR-00017,Fibre souterraine,En déploiement,ODF-CL-33,P-41,ODF-INWI-08,P-46,LIA-967674,EQI-000042,SI-0020
ADD-000018,CTR-00018,Fibre souterraine,Dégradée,ODF-CL-04,P-32,ODF-INWI-12,P-39,LIA-666164,EQI-000043,SI-0021
ADD-000019,CTR-00019,Radio,En déploiement,ODF-CL-18,P-15,ODF-INWI-05,P-43,LIA-614752,EQI-000027,SI-0014
ADD-000020,CTR-00020,Fibre souterraine,En déploiement,ODF-CL-29,P-48,ODF-INWI-21,P-45,LIA-893798,EQI-000071,SI-0034
ADD-000021,CTR-00021,Radio,Dégradée,ODF-CL-36,P-13,ODF-INWI-05,P-62,LIA-503615,EQI-000064,SI-0032
ADD-000022,CTR-00022,Radio,En déploiement,ODF-CL-26,P-12,ODF-INWI-41,P-51,LIA-170726,EQI-000051,SI-0025
ADD-000023,CTR-00023,Fibre aérienne,Dégradée,ODF-CL-23,P-34,ODF-INWI-44,P-37,LIA-703732,EQI-000058,SI-0029
ADD-000024,CTR-00024,Fibre aérienne,En déploiement,ODF-CL-05,P-17,ODF-INWI-33,P-33,LIA-344182,EQI-000045,SI-0023
ADD-000025,CTR-00025,Radio,Opérationnelle,ODF-CL-09,P-45,ODF-INWI-13,P-60,LIA-458086,EQI-000023,SI-0011
ADD-000026,CTR-00026,Fibre souterraine,Dégradée,ODF-CL-15,P-21,ODF-INWI-45,P-67,LIA-694373,EQI-000052,SI-0026
ADD-000027,CTR-00027,Fibre souterraine,En déploiement,ODF-CL-34,P-10,ODF-INWI-39,P-39,LIA-986935,EQI-000009,SI-0005
ADD-000028,CTR-00028,Fibre souterraine,Suspendue,ODF-CL-22,P-45,ODF-INWI-38,P-78,LIA-982639,EQI-000026,SI-0013
ADD-000029,CTR-00029,Fibre aérienne,Suspendue,ODF-CL-30,P-04,ODF-INWI-02,P-21,LIA-500367,EQI-000013,SI-0007
ADD-000030,CTR-00030,Radio,Suspendue,ODF-CL-17,P-16,ODF-INWI-57,P-64,LIA-801137,EQI-000043,SI-0021
ADD-000031,CTR-00031,Fibre souterraine,Opérationnelle,ODF-CL-27,P-18,ODF-INWI-32,P-65,LIA-615985,EQI-000023,SI-0011
ADD-000032,CTR-00032,Radio,Dégradée,ODF-CL-25,P-37,ODF-INWI-54,P-48,LIA-574924,EQI-000067,SI-0033
ADD-000033,CTR-00033,Fibre souterraine,Opérationnelle,ODF-CL-08,P-24,ODF-INWI-29,P-47,LIA-773904,EQI-000060,SI-0030
ADD-000034,CTR-00034,Radio,En déploiement,ODF-CL-27,P-38,ODF-INWI-35,P-67,LIA-928309,EQI-000044,SI-0022
ADD-000035,CTR-00035,Radio,Dégradée,ODF-CL-04,P-43,ODF-INWI-57,P-64,LIA-544195,EQI-000050,SI-0025
ADD-000036,CTR-00036,Fibre aérienne,Dégradée,ODF-CL-35,P-04,ODF-INWI-51,P-80,LIA-659440,EQI-000003,SI-0002
