Id Contrat,#Id site client,Technologie,Durée contrat,Date contrat,Date MES,Service (hérité du contrat),Nbr Adductions
CTR-00001,SC-00001,BLR (WLL),60,2022-01-15 00:00:00,2022-02-12 00:00:00,Internet Très Haut Débit,1
CTR-00002,SC-00002,FTTH,60,2021-06-20 00:00:00,2021-08-14 00:00:00,Accès Internet Sécurisé,2
CTR-00003,SC-00003,BLR (WLL),36,2022-05-03 00:00:00,2022-06-08 00:00:00,Internet Très Haut Débit,3
CTR-00004,SC-00004,VSAT,24,2024-09-01 00:00:00,2024-10-19 00:00:00,VPN MPLS,1
CTR-00005,SC-00005,FTTH,48,2024-04-09 00:00:00,2024-04-26 00:00:00,Accès Internet Sécurisé,3
CTR-00006,SC-00006,VSAT,48,2023-01-14 00:00:00,2023-04-02 00:00:00,Liaison Data,3
CTR-00007,SC-00007,FTTO,48,2026-04-07 00:00:00,2026-06-08 00:00:00,Backup réseau,3
CTR-00008,SC-00008,FTTO,24,2022-06-11 00:00:00,2022-08-07 00:00:00,Accès Internet Sécurisé,3
CTR-00009,SC-00009,FTTH,48,2023-05-17 00:00:00,2023-06-08 00:00:00,Accès Internet Sécurisé,3
CTR-00010,SC-00010,FTTO,36,2021-01-11 00:00:00,2021-02-21 00:00:00,Liaison Data,2
CTR-00011,SC-00011,FTTO,12,2025-12-23 00:00:00,2026-03-07 00:00:00,Accès Internet Sécurisé,2
CTR-00012,SC-00012,VSAT,36,2025-02-24 00:00:00,2025-04-03 00:00:00,VPN MPLS,1
CTR-00013,SC-00014,FTTH,60,2024-10-08 00:00:00,2024-12-06 00:00:00,VPN MPLS,3
CTR-00014,SC-00015,VSAT,24,2021-12-14 00:00:00,2022-02-17 00:00:00,Liaison Data,1
CTR-00015,SC-00016,FTTO,48,2026-01-07 00:00:00,2026-03-23 00:00:00,Internet Très Haut Débit,1
CTR-00016,SC-00017,FTTH,60,2025-08-09 00:00:00,2025-10-24 00:00:00,VPN MPLS,1
CTR-00017,SC-00018,FTTO,24,2026-03-02 00:00:00,2026-04-02 00:00:00,Liaison Data,2
CTR-00018,SC-00019,FTTH,12,2022-04-04 00:00:00,2022-05-13 00:00:00,Backup réseau,3
CTR-00019,SC-00022,BLR (WLL),36,2023-06-10 00:00:00,2023-07-24 00:00:00,Backup réseau,2
CTR-00020,SC-00023,FTTO,60,2023-08-06 00:00:00,2023-09-05 00:00:00,Backup réseau,3
CTR-00021,SC-00024,BLR (WLL),36,2025-02-16 00:00:00,2025-04-21 00:00:00,Accès Internet Sécurisé,3
CTR-00022,SC-00025,BLR (WLL),48,2023-11-21 00:00:00,2024-01-22 00:00:00,Backup réseau,2
CTR-00023,SC-00026,FTTO,36,2025-11-19 00:00:00,2025-12-05 00:00:00,Internet Très Haut Débit,2
CTR-00024,SC-00027,FTTH,48,2025-10-11 00:00:00,2025-12-29 00:00:00,VPN MPLS,2
CTR-00025,SC-00028,BLR (WLL),24,2025-10-30 00:00:00,2025-11-18 00:00:00,Liaison Data,3
CTR-00026,SC-00029,FTTH,36,2022-02-17 00:00:00,2022-04-19 00:00:00,Accès Internet Sécurisé,2
CTR-00027,SC-00030,FTTH,36,2022-11-25 00:00:00,2023-01-26 00:00:00,Internet Très Haut Débit,3
CTR-00028,SC-00031,FTTH,48,2025-12-18 00:00:00,2026-03-15 00:00:00,Accès Internet Sécurisé,3
CTR-00029,SC-00033,FTTH,60,2026-01-24 00:00:00,2026-04-05 00:00:00,Internet Très Haut Débit,2
CTR-00030,SC-00034,BLR (WLL),12,2023-11-26 00:00:00,2023-12-30 00:00:00,Liaison Data,2
CTR-00031,SC-00035,FTTH,48,2022-05-25 00:00:00,2022-06-11 00:00:00,Accès Internet Sécurisé,1
CTR-00032,SC-00036,BLR (WLL),48,2024-05-04 00:00:00,2024-07-04 00:00:00,Accès Internet Sécurisé,2
CTR-00033,SC-00037,FTTH,60,2023-01-24 00:00:00,2023-04-19 00:00:00,Liaison Data,3
CTR-00034,SC-00038,BLR (WLL),36,2025-01-30 00:00:00,2025-03-09 00:00:00,Backup réseau,1
CTR-00035,SC-00039,BLR (WLL),48,2022-05-14 00:00:00,2022-07-12 00:00:00,Internet Très Haut Débit,3
CTR-00036,SC-00040,FTTH,48,2023-06-27 00:00:00,2023-08-18 00:00:00,Accès Internet Sécurisé,1
CTR-00037,SC-00041,VSAT,48,2025-07-27 00:00:00,2025-10-25 00:00:00,Backup réseau,2
CTR-00038,SC-00042,BLR (WLL),12,2024-10-20 00:00:00,2024-12-27 00:00:00,Backup réseau,1
CTR-00039,SC-00043,VSAT,12,2026-04-06 00:00:00,2026-05-21 00:00:00,Backup réseau,1
CTR-00040,SC-00044,FTTH,12,2021-02-24 00:00:00,2021-03-18 00:00:00,VPN MPLS,3
CTR-00041,SC-00045,VSAT,24,2022-03-03 00:00:00,2022-04-22 00:00:00,VPN MPLS,3
CTR-00042,SC-00046,FTTH,24,2024-03-03 00:00:00,2024-05-02 00:00:00,Liaison Data,2
CTR-00043,SC-00047,FTTO,60,2025-12-15 00:00:00,2026-01-18 00:00:00,Accès Internet Sécurisé,3
CTR-00044,SC-00048,FTTO,60,2021-02-12 00:00:00,2021-05-10 00:00:00,VPN MPLS,3
CTR-00045,SC-00049,VSAT,36,2021-02-01 00:00:00,2021-03-26 00:00:00,Liaison Data,3
CTR-00046,SC-00050,FTTO,24,2021-06-12 00:00:00,2021-08-10 00:00:00,Liaison Data,3
CTR-00047,SC-00051,VSAT,24,2023-10-12 00:00:00,2023-11-12 00:00:00,VPN MPLS,3
CTR-00048,SC-00052,VSAT,12,2025-05-26 00:00:00,2025-08-21 00:00:00,Backup réseau,1
CTR-00049,SC-00053,FTTH,24,2022-11-04 00:00:00,2023-01-16 00:00:00,Internet Très Haut Débit,3
CTR-00050,SC-00054,VSAT,60,2024-01-23 00:00:00,2024-04-15 00:00:00,Internet Très Haut Débit,2
CTR-00051,SC-00055,BLR (WLL),24,2023-09-04 00:00:00,2023-10-29 00:00:00,Liaison Data,2
CTR-00052,SC-00056,BLR (WLL),36,2023-07-04 00:00:00,2023-07-20 00:00:00,Accès Internet Sécurisé,2
CTR-00053,SC-00057,FTTH,24,2022-01-05 00:00:00,2022-02-01 00:00:00,Backup réseau,2
CTR-00054,SC-00058,FTTH,48,2024-10-24 00:00:00,2025-01-17 00:00:00,VPN MPLS,1
CTR-00055,SC-00059,BLR (WLL),12,2021-02-15 00:00:00,2021-04-09 00:00:00,Internet Très Haut Débit,1
CTR-00056,SC-00060,FTTO,12,2023-09-21 00:00:00,2023-11-21 00:00:00,Backup réseau,1
CTR-00057,SC-00061,VSAT,12,2021-03-21 00:00:00,2021-06-09 00:00:00,Liaison Data,1
CTR-00058,SC-00062,VSAT,36,2024-05-17 00:00:00,2024-06-08 00:00:00,Backup réseau,2
CTR-00059,SC-00063,FTTO,36,2024-05-19 00:00:00,2024-07-17 00:00:00,Accès Internet Sécurisé,1
CTR-00060,SC-00064,FTTO,60,2022-06-19 00:00:00,2022-08-26 00:00:00,Internet Très Haut Débit,2
CTR-00061,SC-00065,FTTO,24,2022-07-12 00:00:00,2022-09-02 00:00:00,Backup réseau,3
CTR-00062,SC-00066,VSAT,48,2023-10-27 00:00:00,2023-12-03 00:00:00,Liaison Data,3
CTR-00063,SC-00067,VSAT,48,2025-09-19 00:00:00,2025-10-09 00:00:00,VPN MPLS,1
CTR-00064,SC-00068,VSAT,36,2026-02-05 00:00:00,2026-04-13 00:00:00,Liaison Data,1
CTR-00065,SC-00069,FTTH,36,2026-01-20 00:00:00,2026-04-01 00:00:00,VPN MPLS,3
CTR-00066,SC-00070,FTTH,36,2023-04-06 00:00:00,2023-04-22 00:00:00,Liaison Data,2
CTR-00067,SC-00071,VSAT,12,2022-10-11 00:00:00,2022-12-04 00:00:00,VPN MPLS,1
CTR-00068,SC-00073,FTTH,48,2023-08-06 00:00:00,2023-08-30 00:00:00,VPN MPLS,1
CTR-00069,SC-00074,VSAT,36,2021-01-10 00:00:00,2021-01-25 00:00:00,Accès Internet Sécurisé,1
CTR-00070,SC-00075,FTTH,24,2022-06-25 00:00:00,2022-07-24 00:00:00,Internet Très Haut Débit,1
CTR-00071,SC-00076,VSAT,60,2021-08-15 00:00:00,2021-10-16 00:00:00,Internet Très Haut Débit,1
CTR-00072,SC-00077,FTTH,36,2023-12-20 00:00:00,2024-02-13 00:00:00,Accès Internet Sécurisé,1
CTR-00073,SC-00078,FTTO,36,2025-11-21 00:00:00,2026-02-09 00:00:00,Backup réseau,1
CTR-00074,SC-00079,VSAT,36,2026-03-14 00:00:00,2026-06-04 00:00:00,Internet Très Haut Débit,2
CTR-00075,SC-00080,FTTH,12,2023-01-29 00:00:00,2023-03-20 00:00:00,Accès Internet Sécurisé,3
CTR-00076,SC-00082,VSAT,24,2025-04-11 00:00:00,2025-05-13 00:00:00,Accès Internet Sécurisé,2
CTR-00077,SC-00083,VSAT,48,2022-01-08 00:00:00,2022-02-12 00:00:00,Internet Très Haut Débit,2
CTR-00078,SC-00084,FTTO,12,2023-01-01 00:00:00,2023-02-15 00:00:00,Backup réseau,1
CTR-00079,SC-00085,BLR (WLL),12,2025-09-14 00:00:00,2025-10-22 00:00:00,Accès Internet Sécurisé,2
CTR-00080,SC-00086,VSAT,48,2023-04-18 00:00:00,2023-06-19 00:00:00,Backup réseau,1
CTR-00081,SC-00087,VSAT,24,2022-05-23 00:00:00,2022-07-03 00:00:00,Accès Internet Sécurisé,2
CTR-00082,SC-00088,FTTH,12,2025-03-26 00:00:00,2025-05-08 00:00:00,VPN MPLS,1
CTR-00083,SC-00089,FTTO,36,2023-10-22 00:00:00,2024-01-04 00:00:00,VPN MPLS,3
