Id Equipement client,#Id site client,#Id Contrat,Equipement name,Type/ Reference,Fournisseur,Serial Number,Code SAP/ Article,Adresse IP,Port équipement
EQC-000001,SC-00001,CTR-00001,ONT Nokia,CPE,Nokia,CLT-840705,SAP-81399,10.156.187.149,GE0/38
EQC-000002,SC-00002,CTR-00002,Switch Cisco Catalyst,Switch,Cisco,CLT-219423,SAP-42458,10.86.101.43,GE2/6
EQC-000003,SC-00003,CTR-00003,Routeur Cisco ISR,ONT,Cisco,CLT-869903,SAP-77936,10.112.80.47,GE2/2
EQC-000004,SC-00003,CTR-00003,ONT Nokia,ONT,Nokia,CLT-742123,SAP-72576,10.187.173.73,GE0/4
EQC-000005,SC-00004,CTR-00004,ONT Nokia,CPE,Nokia,CLT-498174,SAP-58673,10.148.16.26,GE1/13
EQC-000006,SC-00005,CTR-00005,Switch Cisco Catalyst,Switch,Cisco,CLT-526611,SAP-33467,10.181.247.38,GE0/27
EQC-000007,SC-00006,CTR-00006,Firewall Fortinet,CPE,Fortinet,CLT-951548,SAP-15852,10.110.207.221,GE3/21
EQC-000008,SC-00007,CTR-00007,Firewall Fortinet,Switch,Fortinet,CLT-984078,SAP-36770,10.95.225.143,GE2/40
EQC-000009,SC-00007,CTR-00007,ONT Nokia,Firewall,Nokia,CLT-758538,SAP-43319,10.120.99.213,GE0/32
EQC-000010,SC-00008,CTR-00008,Routeur Cisco ISR,ONT,Cisco,CLT-660627,SAP-35527,10.67.33.116,GE1/21
EQC-000011,SC-00009,CTR-00009,ONT Nokia,ONT,Nokia,CLT-276326,SAP-51246,10.216.211.78,GE0/3
EQC-000012,SC-00010,CTR-00010,Switch Cisco Catalyst,Routeur entreprise,Cisco,CLT-654003,SAP-74542,10.98.133.112,GE2/28
EQC-000013,SC-00011,CTR-00011,Routeur Cisco ISR,CPE,Cisco,CLT-594743,SAP-83309,10.155.147.119,GE1/45
EQC-000014,SC-00011,CTR-00011,Firewall Fortinet,Switch,Fortinet,CLT-335011,SAP-92387,10.231.177.72,GE3/7
EQC-000015,SC-00012,CTR-00012,ONT Nokia,Firewall,Nokia,CLT-712898,SAP-47775,10.183.11.87,GE0/45
EQC-000016,SC-00012,CTR-00012,Switch Cisco Catalyst,ONT,Cisco,CLT-450513,SAP-79680,10.168.14.16,GE1/26
EQC-000017,SC-00014,CTR-00013,Routeur Cisco ISR,Switch,Cisco,CLT-741693,SAP-24826,10.228.90.8,GE3/42
EQC-000018,SC-00015,CTR-00014,Routeur Huawei,Firewall,Huawei,CLT-841618,SAP-42387,10.240.153.66,GE2/13
EQC-000019,SC-00016,CTR-00015,Routeur Cisco ISR,CPE,Cisco,CLT-501981,SAP-11569,10.75.110.188,GE0/28
EQC-000020,SC-00016,CTR-00015,Routeur Cisco ISR,Switch,Cisco,CLT-453788,SAP-60646,10.228.108.228,GE3/39
EQC-000021,SC-00017,CTR-00016,ONT Nokia,Switch,Nokia,CLT-583485,SAP-14730,10.225.46.56,GE1/3
EQC-000022,SC-00018,CTR-00017,Routeur Cisco ISR,Switch,Cisco,CLT-504872,SAP-39710,10.49.244.152,GE2/38
EQC-000023,SC-00019,CTR-00018,Switch Cisco Catalyst,ONT,Cisco,CLT-111639,SAP-41814,10.179.176.122,GE2/20
EQC-000024,SC-00022,CTR-00019,ONT Nokia,ONT,Nokia,CLT-642477,SAP-63011,10.129.224.37,GE1/6
EQC-000025,SC-00023,CTR-00020,ONT Nokia,CPE,Nokia,CLT-243709,SAP-95937,10.78.33.222,GE3/14
EQC-000026,SC-00023,CTR-00020,Firewall Fortinet,Firewall,Fortinet,CLT-100586,SAP-64698,10.177.221.78,GE0/28
EQC-000027,SC-00024,CTR-00021,Firewall Fortinet,Firewall,Fortinet,CLT-143159,SAP-26842,10.207.59.170,GE2/0
