Id Equipement Inwi,#Id Site INWI,Equipement name,Fournisseur,Serial Number,Type/ Reference,Adresse IP,Port équipement
EQI-000001,SI-0001,Hub VSAT,Fortinet,INWI-911762,BTS,10.216.107.172,PORT-50
EQI-000002,SI-0001,Routeur Cisco ASR,Cisco,INWI-260609,Switch,10.110.40.17,PORT-57
EQI-000003,SI-0002,OLT Nokia,Nokia,INWI-275677,Routeur cœur,10.66.8.1,PORT-93
EQI-000004,SI-0003,Switch Huawei,Huawei,INWI-588608,ODF,10.5.181.84,PORT-07
EQI-000005,SI-0003,Routeur Cisco ASR,Cisco,INWI-232010,BTS,10.200.82.221,PORT-81
EQI-000006,SI-0003,Routeur Cisco ASR,Cisco,INWI-156604,ODF,10.218.248.252,PORT-43
EQI-000007,SI-0004,ODF Inwi,Nokia,INWI-513901,OLT,10.229.38.240,PORT-90
EQI-000008,SI-0004,ODF Inwi,ZTE,INWI-938522,Routeur cœur,10.218.175.224,PORT-44
EQI-000009,SI-0005,BTS Radio,Fortinet,INWI-666514,ODF,10.131.236.83,PORT-32
EQI-000010,SI-0006,Hub VSAT,Cisco,INWI-235370,OLT,10.51.238.174,PORT-78
EQI-000011,SI-0007,Switch Huawei,Huawei,INWI-926794,Switch,10.82.172.32,PORT-70
EQI-000012,SI-0007,Routeur Cisco ASR,Cisco,INWI-707504,BTS,10.218.168.120,PORT-76
EQI-000013,SI-0007,ODF Inwi,Nokia,INWI-804115,ODF,10.101.116.237,PORT-60
EQI-000014,SI-0008,ODF Inwi,Fortinet,INWI-967126,Switch,10.243.67.118,PORT-75
EQI-000015,SI-0008,Routeur Cisco ASR,Cisco,INWI-422307,OLT,10.198.136.150,PORT-55
EQI-000016,SI-0008,OLT Nokia,Nokia,INWI-428553,ODF,10.197.233.85,PORT-35
EQI-000017,SI-0009,BTS Radio,Cisco,INWI-993162,OLT,10.177.83.139,PORT-11
EQI-000018,SI-0009,Hub VSAT,ZTE,INWI-787398,ODF,10.169.119.183,PORT-20
EQI-000019,SI-0009,BTS Radio,Huawei,INWI-909881,ODF,10.207.103.128,PORT-29
EQI-000020,SI-0010,ODF Inwi,ZTE,INWI-903132,Routeur cœur,10.62.140.209,PORT-33
EQI-000021,SI-0010,Switch Huawei,Huawei,INWI-138380,Hub satellite,10.167.60.186,PORT-01
EQI-000022,SI-0010,Hub VSAT,Cisco,INWI-352983,BTS,10.214.152.203,PORT-05
EQI-000023,SI-0011,BTS Radio,Huawei,INWI-520689,BTS,10.232.196.116,PORT-51
EQI-000024,SI-0012,OLT Nokia,Nokia,INWI-696932,Routeur cœur,10.96.244.46,PORT-46
EQI-000025,SI-0013,BTS Radio,Fortinet,INWI-427228,OLT,10.61.88.141,PORT-42
EQI-000026,SI-0013,OLT Nokia,Nokia,INWI-615532,Routeur cœur,10.229.133.123,PORT-18
EQI-000027,SI-0014,Hub VSAT,Cisco,INWI-162651,BTS,10.67.11.23,PORT-04
EQI-000028,SI-0014,Hub VSAT,Nokia,INWI-938025,Hub satellite,10.14.165.150,PORT-32
EQI-000029,SI-0015,Routeur Cisco ASR,Cisco,INWI-824292,ODF,10.220.136.15,PORT-14
EQI-000030,SI-0015,ODF Inwi,Huawei,INWI-568999,OLT,10.56.246.231,PORT-55
EQI-000031,SI-0015,BTS Radio,Nokia,INWI-423209,Switch,10.146.253.21,PORT-34
EQI-000032,SI-0016,Switch Huawei,Huawei,INWI-623870,ODF,10.129.213.112,PORT-13
EQI-000033,SI-0016,Routeur Cisco ASR,Cisco,INWI-633832,ODF,10.27.93.25,PORT-64
EQI-000034,SI-0016,Hub VSAT,ZTE,INWI-648032,BTS,10.196.247.38,PORT-43
EQI-000035,SI-0017,ODF Inwi,Cisco,INWI-953548,OLT,10.128.115.167,PORT-38
EQI-000036,SI-0018,Switch Huawei,Huawei,INWI-912427,OLT,10.169.175.175,PORT-61
EQI-000037,SI-0018,Hub VSAT,ZTE,INWI-163898,OLT,10.240.98.15,PORT-36
EQI-000038,SI-0019,BTS Radio,Fortinet,INWI-534930,Switch,10.245.14.130,PORT-18
EQI-000039,SI-0019,Hub VSAT,Huawei,INWI-189718,ODF,10.195.90.150,PORT-19
EQI-000040,SI-0019,BTS Radio,ZTE,INWI-523097,ODF,10.247.152.20,PORT-45
EQI-000041,SI-0020,Switch Huawei,Huawei,INWI-964919,ODF,10.246.97.97,PORT-64
EQI-000042,SI-0020,Routeur Cisco ASR,Cisco,INWI-931362,ODF,10.165.127.249,PORT-14
EQI-000043,SI-0021,ODF Inwi,ZTE,INWI-564883,Hub satellite,10.6.18.137,PORT-96
EQI-000044,SI-0022,ODF Inwi,Cisco,INWI-536366,Switch,10.4.222.98,PORT-46
EQI-000045,SI-0023,OLT Nokia,Nokia,INWI-676232,Switch,10.12.122.26,PORT-05
EQI-000046,SI-0023,OLT Nokia,Nokia,INWI-156222,OLT,10.118.233.131,PORT-90
EQI-000047,SI-0024,BTS Radio,ZTE,INWI-624394,BTS,10.133.20.223,PORT-06
EQI-000048,SI-0024,OLT Nokia,Nokia,INWI-341264,Routeur cœur,10.204.137.65,PORT-80
EQI-000049,SI-0024,BTS Radio,Nokia,INWI-229563,OLT,10.171.151.3,PORT-14
EQI-000050,SI-0025,ODF Inwi,ZTE,INWI-550217,BTS,10.226.117.65,PORT-96
EQI-000051,SI-0025,Hub VSAT,Fortinet,INWI-148946,ODF,10.99.235.34,PORT-93
EQI-000052,SI-0026,BTS Radio,ZTE,INWI-184005,BTS,10.49.118.81,PORT-56
EQI-000053,SI-0027,BTS Radio,Nokia,INWI-179380,ODF,10.92.0.206,PORT-09
EQI-000054,SI-0027,OLT Nokia,Nokia,INWI-575792,BTS,10.250.126.224,PORT-34
EQI-000055,SI-0027,Routeur Cisco ASR,Cisco,INWI-985278,BTS,10.115.76.253,PORT-63
EQI-000056,SI-0028,Routeur Cisco ASR,Cisco,INWI-639174,BTS,10.147.33.9,PORT-34
EQI-000057,SI-0029,ODF Inwi,Nokia,INWI-611718,Switch,10.254.209.125,PORT-17
EQI-000058,SI-0029,OLT Nokia,Nokia,INWI-759114,BTS,10.74.238.243,PORT-12
EQI-000059,SI-0029,ODF Inwi,Fortinet,INWI-642458,ODF,10.90.186.164,PORT-09
EQI-000060,SI-0030,BTS Radio,Huawei,INWI-671418,BTS,10.122.109.140,PORT-90
EQI-000061,SI-0030,Switch Huawei,Huawei,INWI-690995,Hub satellite,10.66.218.114,PORT-20
EQI-000062,SI-0031,ODF Inwi,Fortinet,INWI-917049,BTS,10.18.133.206,PORT-68
EQI-000063,SI-0031,OLT Nokia,Nokia,INWI-507788,Routeur cœur,10.143.116.232,PORT-12
EQI-000064,SI-0032,BTS Radio,Nokia,INWI-836839,ODF,10.247.229.159,PORT-90
EQI-000065,SI-0032,Switch Huawei,Huawei,INWI-401758,OLT,10.115.28.238,PORT-70
EQI-000066,SI-0032,Routeur Cisco ASR,Cisco,INWI-173288,ODF,10.139.75.42,PORT-60
EQI-000067,SI-0033,BTS Radio,ZTE,INWI-325518,Hub satellite,10.212.241.142,PORT-05
EQI-000068,SI-0033,OLT Nokia,Nokia,INWI-933179,Hub satellite,10.107.93.115,PORT-44
EQI-000069,SI-0033,BTS Radio,ZTE,INWI-726120,ODF,10.44.214.47,PORT-52
EQI-000070,SI-0034,OLT Nokia,Nokia,INWI-280069,Hub satellite,10.22.185.145,PORT-02
EQI-000071,SI-0034,OLT Nokia,Nokia,INWI-789935,Hub satellite,10.125.172.134,PORT-65
EQI-000072,SI-0035,OLT Nokia,Nokia,INWI-954621,ODF,10.75.215.198,PORT-08
EQI-000073,SI-0035,OLT Nokia,Nokia,INWI-911436,BTS,10.169.68.134,PORT-90
EQI-000074,SI-0035,BTS Radio,Huawei,INWI-790829,Switch,10.57.10.213,PORT-42
